code;name;category;id;volume;price;cap;volume_2012_1;price_2012_1;cap_2012_1;volume_2012_2;price_2012_2;cap_2012_2;volume_2012_3;price_2012_3;cap_2012_3;volume_2012_4;price_2012_4;cap_2012_4;volume_2013_1;price_2013_1;cap_2013_1;volume_2013_2;price_2013_2;cap_2013_2;volume_2013_3;price_2013_3;cap_2013_3;volume_2013_4;price_2013_4;cap_2013_4;volume_2014_1;price_2014_1;cap_2014_1;volume_2014_2;price_2014_2;cap_2014_2;volume_2014_3;price_2014_3;cap_2014_3;volume_2014_4;price_2014_4;cap_2014_4;volume_2015_1;price_2015_1;cap_2015_1;volume_2015_2;price_2015_2;cap_2015_2;volume_2015_3;price_2015_3;cap_2015_3;volume_2015_4;price_2015_4;cap_2015_4;volume_2016_1;price_2016_1;cap_2016_1;volume_2016_2;price_2016_2;cap_2016_2;volume_2016_3;price_2016_3;cap_2016_3;volume_2016_4;price_2016_4;cap_2016_4;volume_2017_1;price_2017_1;cap_2017_1;volume_2017_2;price_2017_2;cap_2017_2;volume_2017_3;price_2017_3;cap_2017_3;volume_2017_4;price_2017_4;cap_2017_4;volume_2018_1;price_2018_1;cap_2018_1;volume_2018_2;price_2018_2;cap_2018_2;volume_2018_3;price_2018_3;cap_2018_3;volume_2018_4;price_2018_4;cap_2018_4;volume_2019_1;price_2019_1;cap_2019_1;volume_2019_2;price_2019_2;cap_2019_2;volume_2019_3;price_2019_3;cap_2019_3;volume_2019_4;price_2019_4;cap_2019_4;volume_2020_1;price_2020_1;cap_2020_1;volume_2020_2;price_2020_2;cap_2020_2;volume_2020_3;price_2020_3;cap_2020_3;volume_2020_4;price_2020_4;cap_2020_4
NKNCP;"ПАО ""Нижнекамскнефтехим""";ап;2-02-00096-A;218983750,0;16,14;3534397725,0;218983750,0;18,096;3962729940,0;218983750,0;21,112;4623184930,0;218983750,0;22,882;5010786167,5;218983750,0;24,35;5332254312,5;218983750,0;23,608;5169768370,0;218983750,0;21,612;4732676805,0;218983750,0;20,279;4440771466,25;218983750,0;20,483;4485444151,25;218983750,0;17,523;3837252251,25;218983750,0;14,559;3188184416,25;218983750,0;14,456;3165629090,0;218983750,0;17,46;3823456275,0;218983750,0;20,64;4519824600,0;218983750,0;23,8;5211813250,0;218983750,0;20,1;4401573375,0;218983750,0;23,2;5080423000,0;218983750,0;32,2;7051276750,0;218983750,0;27,2;5956358000,0;218983750,0;33,09;7246172287,5;218983750,0;31,02;6792875925,0;218983750,0;25,56;5597224650,0;218983750,0;24,9;5452695375,0;218983750,0;26,71;5849055962,5;218983750,0;28,05;6142494187,5;218983750,0;29,8;6525715750,0;218983750,0;32,9;7204565375,0;218983750,0;35,7;7817719875,0;218983750,0;40,45;8857892687,5;218983750,0;72,95;15974864562,5;218983750,0;65,76;14400371400,0;218983750,0;71,52;15661717800,0;218983750,0;84,58;18521645575,0;218983750,0;81,4;17825277250,0;218983750,0;89,56;19612184650,0;218983750,0;76,9;16839850375,0;218983750,0;78,96;17290956900,0
NKSH;"ПАО ""Нижнекамскшина""";aо;1-02-55032-D;63731171,0;;;63731171,0;32,456;2068458885,98;63731171,0;29,597;1886251468,09;63731171,0;22,742;1449374290,88;63731171,0;19,564;1246836629,44;63731171,0;17,822;1135816929,56;63731171,0;18,449;1175776373,78;63731171,0;14,545;926969882,2;63731171,0;13,327;849345315,92;63731171,0;10,729;683771733,66;63731171,0;10,574;673893402,15;63731171,0;9,518;606593285,58;63731171,0;11,1;707415998,1;63731171,0;10,15;646871385,65;63731171,0;10,95;697856322,45;63731171,0;10,25;653244502,75;63731171,0;9,95;634125151,45;63731171,0;12,0;764774052,0;63731171,0;9,5;605446124,5;63731171,0;9,7;618192358,7;63731171,0;10,95;697856322,45;63731171,0;12,5;796639637,5;63731171,0;10,75;685110088,25;63731171,0;15,55;991019709,05;63731171,0;15,45;984646591,95;63731171,0;14,8;943221330,8;63731171,0;14,25;908169186,75;63731171,0;15,05;959154123,55;63731171,0;13,75;876303601,25;63731171,0;12,6;803012754,6;63731171,0;13,48;859096185,08;63731171,0;22,38;1426303606,98;63731171,0;23,76;1514252622,96;63731171,0;20,28;1292468147,88;63731171,0;22,28;1419930489,88;63731171,0;22,36;1425028983,56;63731171,0;21,4;1363847059,4
NLMK;"ПАО ""НЛМК""";aо;1-01-00102-A;5993227240,0;62,9;376973993396,0;5993227240,0;62,19;372718802055,6;5993227240,0;51,97;311468019662,8;5993227240,0;63,03;377753112937,2;5993227240,0;60,9;364987538916,0;5993227240,0;49,08;294147592939,2;5993227240,0;42,95;257409109958,0;5993227240,0;52,76;316202669182,4;5993227240,0;54,76;328189123662,4;5993227240,0;43,4;260106062216,0;5993227240,0;47,1;282281003004,0;5993227240,0;56,97;341434155862,8;5993227240,0;65,05;389859431962,0;5993227240,0;77,745;465943451773,8;5993227240,0;74,89;448832788003,6;5993227240,0;74,07;443918341666,8;5993227240,0;62,79;376314738399,6;5993227240,0;83,68;501513255443,2;5993227240,0;83,06;497797454554,4;5993227240,0;83,34;499475558181,6;5993227240,0;114,43;685804993073,2;5993227240,0;112,35;673339080414,0;5993227240,0;114,7;687423164428,0;5993227240,0;131,72;789427892052,8;5993227240,0;147,59;884540408351,6;5993227240,0;144,39;865362081183,6;5993227240,0;151,6;908573249584,0;5993227240,0;177,22;1062119731472,8;5993227240,0;157,5;943933290300,0;5993227240,0;170,48;1021725379875,2;5993227240,0;160,98;964789721095,2;5993227240,0;141,48;847921789915,2;5993227240,0;143,3;858829463492,0;5993227240,0;123,06;737526544154,4;5993227240,0;140,5;842048427220,0;5993227240,0;172,98;1036708447975,2;5993227240,0;208,82;1251505712256,8
NMOS;"ОАО Банк ""ФК Открытие""";aо;10102209B;86845973,0;595,0;51673353935,0;92422370,0;829,8;76692082626,0;92422370,0;666,9;61636478553,0;92422370,0;775,2;71645821224,0;92422370,0;831,5;76849200655,0;92422370,0;844,9;78087660413,0;92422370,0;913,1;84390866047,0;114222370,0;902,6;103097111162,0;121014286,0;957,6;115883280273,6;121014286,0;893,9;108174670255,4;121014286,0;867,9;105028298819,4;121014286,0;900,3;108949161685,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NMTP;"ПАО ""НМТП""";aо;1-01-30251-E;19259815400,0;3,2441;62480767139,14;19259815400,0;2,9887;57561810285,98;19259815400,0;2,7465;52897082996,1;19259815400,0;2,8127;54172082775,58;19259815400,0;2,8441;54776840979,14;19259815400,0;3,4066;65610487141,64;19259815400,0;2,7864;53665549630,56;19259815400,0;3,4818;67058825259,72;19259815400,0;2,8512;54913585668,48;19259815400,0;2,3104;44497877500,16;19259815400,0;2,2033;42435151270,82;19259815400,0;1,6252;31301051988,08;19259815400,0;1,125;21667292325,0;19259815400,0;1,42;27348937868,0;19259815400,0;1,9;36593649260,0;19259815400,0;3,015;58068343431,0;19259815400,0;3,72;71646513288,0;19259815400,0;3,7;71261316980,0;19259815400,0;4,145;79831934833,0;19259815400,0;5,235;100825133619,0;19259815400,0;6,565;126440688101,0;19259815400,0;6,055;116618182247,0;19259815400,0;7,06;135974296724,0;19259815400,0;8,14;156774897356,0;19259815400,0;7,905;152248840737,0;19259815400,0;7,865;151478448121,0;19259815400,0;6,505;125285099177,0;19259815400,0;6,82;131351941028,0;19259815400,0;6,87;132314931798,0;19259815400,0;7,355;141655942267,0;19259815400,0;7,485;144159718269,0;19259815400,0;8,41;161975047514,0;19259815400,0;8,965;172664245061,0;19259815400,0;8,695;167464094903,0;19259815400,0;10,49;202035463546,0;19259815400,0;8,58;165249216132,0;19259815400,0;8,085;155715607509,0
NNSB;"ПАО ""ТНС энерго НН""";aо;1-01-55072-E;3919400,0;952,2;3732052680,0;3919400,0;1040,0;4076176000,0;3919400,0;752,6;2949740440,0;3919400,0;786,9;3084175860,0;3919400,0;804,7;3153941180,0;3919400,0;729,7;2859986180,0;3919400,0;760,3;2979919820,0;3919400,0;719,3;2819224420,0;3919400,0;747,0;2927791800,0;3919400,0;749,9;2939158060,0;3919400,0;870,4;3411445760,0;3919400,0;908,8;3561950720,0;3919400,0;1005,0;3938997000,0;3919400,0;640,0;2508416000,0;3919400,0;1048,0;4107531200,0;3919400,0;;;3919400,0;1019,0;3993868600,0;3919400,0;1060,0;4154564000,0;3919400,0;1040,0;4076176000,0;3919400,0;;;3919400,0;;;3919400,0;;;3919400,0;;;3919400,0;1255,0;4918847000,0;3919400,0;1270,0;4977638000,0;3919400,0;1380,0;5408772000,0;3919400,0;1375,0;5389175000,0;3919400,0;1340,0;5251996000,0;3919400,0;;;3919400,0;2000,0;7838800000,0;3919400,0;1155,0;4526907000,0;3919400,0;1255,0;4918847000,0;3919400,0;1540,0;6035876000,0;3919400,0;1405,0;5506757000,0;3919400,0;1390,0;5447966000,0;3919400,0;1705,0;6682577000,0;3919400,0;2475,0;9700515000,0
NNSBP;"ПАО ""ТНС энерго НН""";ап;2-01-55072-E;1063512,0;970,3;1031925693,6;1063512,0;1020,7;1085526698,4;1063512,0;751,5;799229268,0;1063512,0;785,9;835814080,8;1063512,0;795,6;846130147,2;1063512,0;725,2;771258902,4;1063512,0;770,6;819542347,2;1063512,0;731,2;777639974,4;1063512,0;747,6;795081571,2;1063512,0;703,6;748287043,2;1063512,0;707,9;752860144,8;1063512,0;598,0;635980176,0;1063512,0;565,0;600884280,0;1063512,0;491,0;522184392,0;1063512,0;700,0;744458400,0;1063512,0;775,0;824221800,0;1063512,0;897,0;953970264,0;1063512,0;1061,0;1128386232,0;1063512,0;1039,0;1104988968,0;1063512,0;981,0;1043305272,0;1063512,0;830,0;882714960,0;1063512,0;715,0;760411080,0;1063512,0;800,0;850809600,0;1063512,0;810,0;861444720,0;1063512,0;630,0;670012560,0;1063512,0;625,0;664695000,0;1063512,0;520,0;553026240,0;1063512,0;445,0;473262840,0;1063512,0;382,0;406261584,0;1063512,0;718,0;763601616,0;1063512,0;559,0;594503208,0;1063512,0;578,0;614709936,0;1063512,0;630,0;670012560,0;1063512,0;458,0;487088496,0;1063512,0;596,0;633853152,0;1063512,0;651,0;692346312,0;1063512,0;684,0;727442208,0
NPE1;"ОАО ""НПО ""Промавтоматика""";aо;1-01-33125-E;15445,0;;;15445,0;;;15445,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPOF;"ОАО НПО ""Физика""";aо;1-02-05481-A;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;74762,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;;90262,0;;
NSVZ;"ПАО ""Наука-Связь""";aо;1-01-12689-A;1201562,0;585,4;703394394,8;1201562,0;566,36;680516654,32;1201562,0;569,18;683905059,16;1201562,0;320,6;385220777,2;1201562,0;215,29;258684282,98;1201562,0;187,57;225376984,34;1201562,0;146,32;175812551,84;1201562,0;125,19;150423546,78;1201562,0;101,0;121357762,0;1201562,0;198,37;238353853,94;1201562,0;186,89;224559922,18;1201562,0;;;1201562,0;;;1201562,0;;;1201562,0;148,0;177831176,0;1201562,0;;;1201562,0;151,0;181435862,0;1201562,0;242,0;290778004,0;1201562,0;324,0;389306088,0;1201562,0;330,0;396515460,0;1201562,0;327,0;392910774,0;1201562,0;358,0;430159196,0;1201562,0;262,0;314809244,0;1201562,0;215,0;258335830,0;1201562,0;316,0;379693592,0;1201562,0;227,0;272754574,0;1201562,0;204,0;245118648,0;1201562,0;496,0;595974752,0;1201562,0;243,0;291979566,0;1201562,0;294,0;353259228,0;1201562,0;285,0;342445170,0;1201562,0;280,5;337038141,0;1201562,0;231,5;278161603,0;1201562,0;182,0;218684284,0;1201562,0;230,0;276359260,0;1201562,0;201,0;241513962,0;1201562,0;194,5;233703809,0
